System,Domain,Organization,Country,Publication date,Citations,Parameters,DatasetSize,Epochs,Training time (hours),Model accessibility
Qwen2.5-72B,Language,Alibaba,China,19/9/24,,72700000000,18000000000000,1,,Open access (unrestricted)
Table Tennis Agent,Robotics,Google DeepMind,Multinational,7/8/24,,185000,,,,Unreleased
AFM-server,Language,Apple,United States of America,29/7/24,,,7400000000000,1,,Hosted access (no API)
AFM-on-device,Language,Apple,United States of America,29/7/24,,2730000000,7590000000000,1,,Hosted access (no API)
Mistral Large 2,Language,Mistral AI,France,24/7/24,,123000000000,,,,Open access (non-commercial)
Llama 3.1-405B,Language,Meta AI,United States of America,23/7/24,,405000000000,15600000000000,1,2142,Open access (restricted use)
ESM3 (98B),Biology,"EvolutionaryScale,UC Berkeley","United States of America,United States of America",25/6/24,,98500000000,771000000000,2.3,,Unreleased
Claude 3.5 Sonnet,"Multimodal,Language,Vision",Anthropic,United States of America,20/6/24,,,,,,API access
GLM-4 (0520),Language,Zhipu AI,China,18/6/24,,,10000000000000,,,API access
DeepSeek-Coder-V2 236B,Language,DeepSeek,China,17/6/24,,236000000000,3190000000000,,,Open access (restricted use)
Nemotron-4 340B,Language,NVIDIA,United States of America,14/6/24,,340000000000,6750000000000,,2200,Open access (unrestricted)
OpenVLA,"Robotics,Vision,Language","Stanford University,UC Berkeley,Toyota Research Institute,Google DeepMind,Massachusetts Institute of Technology (MIT),Physical Intelligence","United States of America,United States of America,United States of America,Multinational,United States of America,United States of America",13/6/24,25,7188100000,970000,27,336,Open access (unrestricted)
Qwen2-72B,Language,Alibaba,China,7/6/24,,72710000000,7000000000000,,,Open access (unrestricted)
GPT-4o,"Multimodal,Language,Audio,Speech,Vision",OpenAI,United States of America,13/5/24,,,,,,API access
Llama 3-70B,Language,Meta AI,United States of America,18/4/24,,70000000000,15000000000000,,,Open access (restricted use)
ReALM,Language,Apple,United States of America,29/3/24,,3000000000,16300,,,Unreleased
MM1-30B,"Multimodal,Language,Vision",Apple,United States of America,14/3/24,89,30000000000,1500000000000,,,Unreleased
Inflection-2.5,Language,Inflection AI,United States of America,7/3/24,,,,,,Hosted access (no API)
Claude 3 Opus,"Multimodal,Language,Vision",Anthropic,United States of America,4/3/24,,,,,,API access
MegaScale (Production),Language,"ByteDance,Peking University","China,China",23/2/24,31,530000000000,,,504,Unreleased
Sora,Video,OpenAI,United States of America,15/2/24,,,,,,Unreleased
Gemini 1.5 Pro,"Language,Multimodal",Google DeepMind,Multinational,15/2/24,,,,,,API access
Aya,Language,"Cohere for AI,Brown University,Cohere,Carnegie Mellon University (CMU),Massachusetts Institute of Technology (MIT)","Multinational,United States of America,Canada,United States of America,United States of America",12/2/24,85,13000000000,,,,Open access (unrestricted)
Qwen1.5 72B,Language,Alibaba,China,4/2/24,,72000000000,,,,Open access (restricted use)
Qwen-VL-Max,"Multimodal,Language,Vision",Alibaba,China,25/1/24,,7000000000,,,,API access
AlphaGeometry,Mathematics,"Google DeepMind,New York University (NYU)","Multinational,United States of America",17/1/24,151,151000000,,,,Open access (unrestricted)
CoRe,"Mathematics,Language",Tsinghua University,China,29/12/23,45,12400000000,,,,
Gemini Nano-2,"Multimodal,Language,Vision,Audio",Google DeepMind,Multinational,19/12/23,633,3250000000,,,,Unreleased
Gemini Nano-1,"Multimodal,Language,Vision,Audio",Google DeepMind,Multinational,19/12/23,633,1800000000,,,,Unreleased
FunSearch,"Language,Search",Google DeepMind,Multinational,14/12/23,149,15000000000,0,,48,Open access (unrestricted)
CogAgent,"Vision,Language","Tsinghua University,Zhipu AI","China,China",14/12/23,150,18000000000,287000000,,,Open access (restricted use)
Mixtral 8x7B,Language,Mistral AI,France,11/12/23,,46700000000,,,,Open access (unrestricted)
SeamlessM4T,"Speech,Language","Facebook,INRIA,UC Berkeley","United States of America,France,United States of America",8/12/23,77,2300000000,,,,Open access (unrestricted)
Llama Guard,Language,Meta AI,United States of America,7/12/23,157,7000000000,4096000,1,,Open access (restricted use)
Gemini 1.0 Ultra,"Multimodal,Language,Vision",Google DeepMind,Multinational,6/12/23,633,,,,2400,API access
Gemini 1.0 Pro,"Multimodal,Language,Vision",Google DeepMind,Multinational,6/12/23,633,,,,,API access
Mamba-24M (SC09),Speech,"Carnegie Mellon University (CMU),Princeton University","United States of America,United States of America",1/12/23,969,23400000,305280000,100,,
Qwen-72B,Language,Alibaba,China,30/11/23,,72000000000,3000000000000,,,Open access (restricted use)
PPLX-70B-Online,Language,Perplexity,United States of America,29/11/23,,70000000000,,,,API access
Inflection-2,Language,Inflection AI,United States of America,22/11/23,,,,,,Hosted access (no API)
Claude 2.1,Language,Anthropic,United States of America,21/11/23,0,,,,,API access
Nemotron-3-8B,Language,NVIDIA,United States of America,15/11/23,,8000000000,3800000000000,,456,Open access (restricted use)
Qwen-Audio-Chat,"Language,Speech,Audio",Alibaba,China,14/11/23,111,8460000000,,,,Open access (restricted use)
GraphCast,Earth science,Google DeepMind,Multinational,14/11/23,,,,,,Open access (unrestricted)
Volcano 13B,"Language,Multimodal,Vision","Korea University,Korea Advanced Institute of Science and Technology (KAIST),LG","Korea (Republic of),Korea (Republic of),Korea (Republic of)",13/11/23,19,13000000000,,1,30,Open access (non-commercial)
SPHINX (Llama 2 13B),"Vision,Language,Multimodal","Shanghai AI Lab,Chinese University of Hong Kong (CUHK),ShanghaiTech University","China,Hong Kong,China",13/11/23,,19900000000,,,290,Open access (restricted use)
MultiBand Diffusion,"Audio,Speech","Meta AI,Hebrew University of Jerusalem,LORIA","United States of America,Israel,France",8/11/23,11,,,,48,Open access (unrestricted)
OmniVec,"Multimodal,Vision,Speech,Language,Video,3D modeling",TensorTour,United States of America,7/11/23,33,,,2000,,
mPLUG-Owl2,"Vision,Language,Multimodal",Alibaba,China,7/11/23,,7120000000,400672000,1,,Open access (unrestricted)
GPT-4 Turbo,"Multimodal,Vision,Language,Image generation",OpenAI,United States of America,6/11/23,,,,,,API access
CogVLM-17B,"Multimodal,Vision,Language","Tsinghua University,Zhipu AI,Beihang University","China,China,China",6/11/23,246,17000000000,1518534581,,,Open access (restricted use)
LLaVA 1.5,"Multimodal,Language,Vision","University of Wisconsin Madison,Microsoft Research","United States of America,United States of America",5/11/23,1191,13000000000,1200000,1,24,Open access (restricted use)
RT-Trajectory,Robotics,"Google DeepMind,University of California San Diego,Stanford University","Multinational,United States of America,United States of America",3/11/23,19,,,,,
BLUUMI,Language,"University of Turku,Hugging Face","Finland,Multinational",3/11/23,25,176000000000,38000000000,8,,Open access (unrestricted)
Yi-34B,Language,01.AI,China,2/11/23,,34000000000,3100000000000,,,Open access (restricted use)
Cohere Embed,Language,Cohere,Canada,2/11/23,,,,,,API access
Skywork-13B,Language,Kunlun Inc.,China,30/10/23,69,13000000000,3180000000000,1,940,Open access (restricted use)
ChatGLM3-6B,"Multimodal,Language,Vision",Zhipu AI,China,27/10/23,,6000000000,1400000000000,,,Open access (restricted use)
DiT-XL/2 + CADS,Image generation,ETH Zurich,Switzerland,26/10/23,,675000000,,,,
CODEFUSION (Python),Language,"Microsoft,Microsoft Research","United States of America,United States of America",26/10/23,15,75000000,4390400,,11,
QMoE: compressed 1T model,Language,"Institute of Science and Technology Austria (ISTA),Neural Magic","Austria,United States of America",25/10/23,13,1600000000000,576000000000,,,Open access (unrestricted)
DALL·E 3,Image generation,OpenAI,United States of America,19/10/23,536,,,,,API access
ERNIE 4.0,"Multimodal,Language,Video,Image generation",Baidu,China,17/10/23,,,,,,
RT-2-X,Robotics,Google DeepMind,Multinational,13/10/23,199,55000000000,,,,Unreleased
Ferret (13B),"Multimodal,Language,Vision","Columbia University,Apple","United States of America,United States of America",11/10/23,163,13000000000,,3,120,Open access (non-commercial)
FinGPT-13B,Language,"University of California Los Angeles (UCLA),Columbia University,New York University (NYU)","United States of America,United States of America,United States of America",7/10/23,26,13000000000,,,17.25,Open access (unrestricted)
CTM (CIFAR-10),Image generation,"Stanford University,Sony","United States of America,Japan",1/10/23,74,,60000,1.7,,
Amazon Titan,"Language,Image generation",Amazon,United States of America,28/9/23,,200000000000,4000000000000,,1152,API access
Show-1,Video,National University of Singapore,Singapore,27/9/23,,,10700000,,,Open access (non-commercial)
GPT-4V,"Multimodal,Vision,Language",OpenAI,United States of America,25/9/23,0,,,,,API access
AlphaMissense,Biology,Google DeepMind,Multinational,22/9/23,377,93000000,9000000,4,,Unreleased
Robot Parkour,Robotics,"Shanghai Qi Zhi institute,Stanford University,Carnegie Mellon University (CMU),Tsinghua University","China,United States of America,United States of America,China",12/9/23,84,500000,,,,
Falcon-180B,Language,Technology Innovation Institute,United Arab Emirates,6/9/23,222,180000000000,2630000000000,1,4320,Open access (restricted use)
Swift,Robotics,Intel Labs,Multinational,30/8/23,101,56804,,,0.833,Unreleased
Jais,Language,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence,Inception","Multinational,United Arab Emirates,United States of America",29/8/23,20,13000000000,300000000000,,600,Open access (unrestricted)
PeptideBERT,Biology,Carnegie Mellon University (CMU),United States of America,28/8/23,,,,30,4.067,Open access (unrestricted)
Qwen-VL,"Multimodal,Language,Vision",Alibaba,China,24/8/23,322,9600000000,1400000000,1,,Open access (restricted use)
GGNN,Biology,"Westlake University,Tsinghua University,Toyota Technological Institute at Chicago","China,China,United States of America",5/8/23,16,,,,,
RT-2,Robotics,Google DeepMind,Multinational,28/7/23,595,55000000000,,,,
AudioLM,Audio,Google,United States of America,26/7/23,408,1500000000,820800000,,,
Llama 2-70B,Language,Meta AI,United States of America,18/7/23,7143,70000000000,1500000000000,1,1728,Open access (restricted use)
Llama 2-7B,Language,Meta AI,United States of America,18/7/23,7143,70000000000,1500000000000,1,,Open access (restricted use)
Claude 2,Language,Anthropic,United States of America,11/7/23,0,,,,,API access
xTrimoPGLM -100B,Biology,"Tsinghua University,BioMap Research","China,China",6/7/23,59,100000000000,,,3912,Unreleased
InternLM,Language,"Shanghai AI Lab,SenseTime","China,Hong Kong",6/7/23,0,100000000000,750000000000,,,
Pangu-Weather,Earth science,Huawei,China,5/7/23,197,256000000,,100,1536,Open access (non-commercial)
Stable Diffusion XL,Image generation,Stability AI,Multinational,4/7/23,999,3400000000,,,,
HyenaDNA,Biology,"Stanford University,Harvard University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal","United States of America,United States of America,Canada,Canada",27/6/23,112,6600000,2945000000,679.1171477,672,
ERNIE 3.5,Language,Baidu,China,27/6/23,0,,,,,
RoboCat,Robotics,"Google DeepMind,Google","Multinational,United States of America",20/6/23,29,1180000000,,,,
MusicGen,Audio,Meta AI,United States of America,8/6/23,203,3359000000,,,,
LTM-1,Language,Magic,United States of America,6/6/23,,,,,,
PaLI-X,"Multimodal,Language,Vision,Video",Google Research,Multinational,29/5/23,143,55000000000,1400000000,,,
Goat-7B,Language,National University of Singapore,Singapore,23/5/23,61,7000000000,,1,,Open access (non-commercial)
CodeT5+,Language,Salesforce,United States of America,20/5/23,296,16000000000,,10.8,,Open access (unrestricted)
ONE-PEACE,"Multimodal,Vision,Speech,Language","Alibaba,Huazhong University of Science and Technology","China,China",18/5/23,67,4000000000,1600000000,4.7,,Open access (unrestricted)
CoEdiT-xxl,Language,"University of Minnesota,Grammarly","United States of America,United States of America",17/5/23,36,11000000000,3000000,5,,Open access (non-commercial)
InstructBLIP,"Multimodal,Language,Vision","Salesforce Research,Hong Kong University of Science and Technology,Nanyang Technological University","United States of America,Hong Kong,Singapore",11/5/23,1182,13000000000,,,36,Open access (non-commercial)
PaLM 2,Language,Google,United States of America,10/5/23,883,340000000000,2700000000000,,,API access
StarCoder,Language,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich","Multinational,United States of America,United States of America,Canada,United States of America,United States of America,Germany,Germany,United Kingdom of Great Britain and Northern Ireland,United States of America,Singapore,Israel,Australia,Australia,Australia,Canada,United States of America,Canada,United States of America,Germany,United States of America,United States of America,Sweden,Multinational,United States of America,United States of America,United States of America,India,India,Multinational,Spain,United States of America,Israel,United Kingdom of Great Britain and Northern Ireland,United States of America,Multinational,Germany",9/5/23,451,15500000000,1000000000000,1,625.5,Open access (restricted use)
ImageBind,"Multimodal,Vision,Audio,Language,Image generation,Speech",Meta AI,United States of America,9/5/23,547,932000000,,64,,Open access (non-commercial)
Agile Soccer Robot,Robotics,Google DeepMind,Multinational,26/4/23,69,,,,240,Unreleased
LLaVA,"Multimodal,Vision,Language","University of Wisconsin Madison,Microsoft Research,Columbia University","United States of America,United States of America,United States of America",17/4/23,2100,13000000000,,,10,Open access (unrestricted)
DINOv2,Vision,"Facebook AI Research,INRIA","United States of America,France",14/4/23,1458,1140000000,142000000,,,Open access (unrestricted)
Incoder-6.7B,Language,"Facebook AI Research,University of Washington,UC Berkeley,Carnegie Mellon University (CMU),Toyota Technological Institute at Chicago","United States of America,United States of America,United States of America,United States of America,United States of America",9/4/23,493,6700000000,,1,576,Open access (non-commercial)
Segment Anything Model,Vision,Meta AI,United States of America,5/4/23,3868,636000000,1100000000,2,68,Open access (unrestricted)
BloombergGPT,Language,"Bloomberg,Johns Hopkins University","United States of America,United States of America",30/3/23,505,50558868480,532000000000,0.8,1270,Unreleased
VideoMAE V2,Video,"Nanjing University,Shenzhen Institute of Advanced Technology,Shanghai AI Lab","China,China,China",29/3/23,200,1000000000,,1200,336,Open access (unrestricted)
Firefly,Image generation,Adobe,United States of America,21/3/23,,,,,,
PanGu-Σ,Language,Huawei Noah's Ark Lab,China,20/3/23,45,1090000000000,247000000000,1.836,2400,Unreleased
Gen-2,Video,Runway,United States of America,20/3/23,0,,,,,
LEP-AD,Biology,"King Abdullah University of Science and Technology / KAUST,Karolinska Institute","Saudi Arabia,Sweden",15/3/23,1,3007381000,1244420,,,Unreleased
GPT-4,"Multimodal,Language,Vision,Image generation",OpenAI,United States of America,15/3/23,7054,,4900000000000,2,2280,API access
Falcon-40B,Language,Technology Innovation Institute,United Arab Emirates,15/3/23,0,40000000000,1000000000000,,1440,Open access (unrestricted)
Claude,Language,Anthropic,United States of America,14/3/23,0,,,,,
PaLM-E,"Robotics,Vision,Language","Google,TU Berlin","United States of America,Germany",6/3/23,1102,562000000000,,,,
AudioGen,Audio,"Meta AI,Hebrew University of Jerusalem","United States of America,Israel",5/3/23,209,1000000000,230000000000,,168,Open access (non-commercial)
DiT-XL/2,Image generation,"New York University (NYU),UC Berkeley","United States of America,United States of America",2/3/23,773,675000000,,,,
LLaMA-65B,Language,Meta AI,United States of America,24/2/23,8031,65200000000,1340000000000,1.09,500,Open access (non-commercial)
BASIC-L + Lion,Vision,"Google,University of California Los Angeles (UCLA)","United States of America,United States of America",13/2/23,227,3070000000,,,,
ViT-22B,Vision,Google,United States of America,10/2/23,390,21743000000,4000000000,2.9,,Unreleased
ProteinDT,"Biology,Language","UC Berkeley,California Institute of Technology,University of Toronto,University of Wisconsin Madison,Texas A&M,NVIDIA,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)","United States of America,United States of America,Canada,United States of America,United States of America,United States of America,Canada",9/2/23,,,,,,Unreleased
Gen-1,Video,Runway,United States of America,6/2/23,347,,,,,
Flan T5-XXL + BLIP-2,"Multimodal,Language,Vision",Salesforce,United States of America,30/1/23,2574,12100000000,,,200,Open access (unrestricted)
BLIP-2 (Q-Former),"Vision,Language",Salesforce Research,United States of America,30/1/23,2574,1480000000,129000000,,200,Open access (unrestricted)
DDPM-IP (CelebA),Image generation,Utrecht University,Netherlands,27/1/23,37,295000000,203000,681,120,
MusicLM,Audio,Google,United States of America,26/1/23,300,860000000,,,,
Ankh_large,Biology,"Technical University of Munich,Columbia University","Germany,United States of America",16/1/23,52,1900000000,14000000000,68,,Open access (non-commercial)
Nucleotide Transformer,Biology,"NVIDIA,Technical University of Munich","United States of America,Germany",15/1/23,22,2500000000,300000000000,1,672,
VALL-E,"Audio,Speech",Microsoft,United States of America,5/1/23,428,353000000,820800000,,,Unreleased
Hybrid H3-2.7B,Language,"Stanford University,University at Buffalo","United States of America,United States of America",28/12/22,241,2700000000,,509.02,,Open access (unrestricted)
CaLM,Biology,University of Oxford,United Kingdom of Great Britain and Northern Ireland,19/12/22,7,86000000,2304000000,14,960,
RT-1,Robotics,Google,United States of America,13/12/22,608,35000000,,,,Open access (unrestricted)
TranceptEve,Biology,"University of Oxford,Harvard Medical School","United Kingdom of Great Britain and Northern Ireland,United States of America",10/12/22,,,,,,
DeepNash,Games,DeepMind,United Kingdom of Great Britain and Northern Ireland,1/12/22,143,,,,,
GPT-3.5 Turbo,Language,OpenAI,United States of America,30/11/22,,20000000000,,,,API access
GPT-3.5 (text-davinci-003),Language,OpenAI,United States of America,28/11/22,,,,,,API access
DiT-XL/2 + Discriminator Guidance,Image generation,"Korea Advanced Institute of Science and Technology (KAIST),NAVER","Korea (Republic of),Korea (Republic of)",28/11/22,65,,,7,,
Discriminator Guidance,Image generation,"Korea Advanced Institute of Science and Technology (KAIST),NAVER","Korea (Republic of),Korea (Republic of)",28/11/22,65,,,10,481,Open access (non-commercial)
ALM 1.0,Language,Beijing Academy of Artificial Intelligence / BAAI,China,28/11/22,0,335000000,,,,
CICERO,Games,Meta AI,United States of America,22/11/22,259,,,,,Open access (non-commercial)
AR-LDM,Image generation,"Alibaba,University of Waterloo,Vector Institute","China,Canada,Canada",20/11/22,46,1500000000,,50,194,Unreleased
Fusion in Encoder,Language,Samsung,Korea (Republic of),18/11/22,8,330000000,,,48,
Galactica,"Language,Biology",Meta AI,United States of America,16/11/22,569,120000000000,106000000000,4,,Open access (non-commercial)
EVA-01,Vision,"Beijing Academy of Artificial Intelligence / BAAI,Huazhong University of Science and Technology,Zhejiang University,Beijing Institute of Technology","China,China,China,China",14/11/22,471,1011000000,29600000,150,348,Open access (unrestricted)
AltCLIP_M9,"Multimodal,Language,Vision",Beijing Academy of Artificial Intelligence / BAAI,China,12/11/22,62,,,10,,Open access (unrestricted)
InternImage,Vision,"Shanghai AI Lab,Tsinghua University,Nanjing University,SenseTime,Chinese University of Hong Kong (CUHK)","China,China,China,Hong Kong,Hong Kong",10/11/22,434,1080000000,427000000,30,,Open access (unrestricted)
BLOOM-176B,Language,"Hugging Face,BigScience","Multinational,Multinational",8/11/22,1861,176000000000,379000000000,1,2808,Open access (restricted use)
mT0-13B,Language,"Hugging Face,BigScience","Multinational,Multinational",3/11/22,242,13000000000,20000000000,,,Open access (unrestricted)
Mogrifier RLSTM (WT2),Language,DeepMind,United Kingdom of Great Britain and Northern Ireland,3/11/22,0,35000000,,250,,Unreleased
BLOOMZ-176B,Language,Hugging Face,Multinational,3/11/22,242,176000000000,20000000000,,,Open access (unrestricted)
eDiff-I,Image generation,NVIDIA,United States of America,2/11/22,629,9100000000,1000000000,,,API access
EnCodec,Audio,Meta AI,United States of America,24/10/22,378,,,300,,Open access (non-commercial)
U-PaLM (540B),Language,Google,United States of America,20/10/22,57,540000000000,,,120,Unreleased
LMSI-Palm,Language,"Google,University of Illinois Urbana-Champaign (UIUC)","United States of America,United States of America",20/10/22,381,540000000000,,,,Unreleased
Flan-T5 11B,Language,Google,United States of America,20/10/22,2366,11000000000,100000000000,,,Open access (unrestricted)
Flan-PaLM 540B,Language,Google,United States of America,20/10/22,2366,540000000000,,,37,Unreleased
GenSLM,Biology,"University of Chicago,NVIDIA,Harvard University,Cerebras Systems,Technical University of Munich,California Institute of Technology","United States of America,United States of America,United States of America,Multinational,Germany,United States of America",11/10/22,55,25000000000,,,,
Diplodocus,Games,"Meta AI,Massachusetts Institute of Technology (MIT)","United States of America,United States of America",11/10/22,30,,,,,Open access (non-commercial)
Phenaki,Video,"University College London (UCL),University of Michigan,Google Brain","United Kingdom of Great Britain and Northern Ireland,United States of America,United States of America",5/10/22,274,1800000000,,,,
DiffDock,Biology,Massachusetts Institute of Technology (MIT),United States of America,4/10/22,291,20240000,17000,850,432,Open access (unrestricted)
Make-A-Video,Video,Meta AI,United States of America,29/9/22,907,,,,,
Whisper,Speech,OpenAI,United States of America,21/9/22,2043,1550000000,9302400000,3,,Open access (unrestricted)
PaLI,"Language,Vision,Multimodal",Google,United States of America,14/9/22,532,16900000000,1600000000,1,240,Unreleased
BEIT-3,"Multimodal,Vision,Language",Microsoft,United States of America,22/8/22,542,1900000000,,,,Unreleased
BlenderBot 3,Language,"McGill University,Meta AI,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)","Canada,United States of America,Canada",10/8/22,206,175000000000,1300000000,,,Open access (non-commercial)
GLM-130B,Language,Tsinghua University,China,4/8/22,946,130000000000,400000000000,1,1440,Open access (non-commercial)
AlexaTM 20B,Language,Amazon,United States of America,2/8/22,73,19750000000,1320000000000,,2880,API access
OmegaPLM,Biology,"Massachusetts Institute of Technology (MIT),Westlake University","United States of America,China",22/7/22,253,670000000,,,,
ESM2-15B,Biology,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)","United States of America,United States of America,United States of America,United States of America",21/7/22,636,15000000000,12000000000,72,1440,Open access (unrestricted)
NLLB,Language,Meta AI,United States of America,6/7/22,844,54500000000,360000000000,,,Open access (unrestricted)
CodeT5-large,Language,Salesforce,United States of America,5/7/22,171,770000000,10500000000,150,504,Open access (unrestricted)
Minerva (540B),Language,Google,United States of America,29/6/22,542,540000000000,26000000000,,696,Unreleased
ProGen2-xlarge,Biology,"Salesforce Research,Columbia University,Johns Hopkins University","United States of America,United States of America,United States of America",27/6/22,179,6400000000,350000000000,,,Open access (unrestricted)
Parti,Image generation,Google Research,Multinational,22/6/22,827,20000000000,4800000000,,,Unreleased
CoCa,Vision,Google Research,Multinational,14/6/22,1016,2100000000,4800000000,6.875,120,Unreleased
MetaLM,"Multimodal,Language,Vision",Microsoft Research,United States of America,13/6/22,89,,,,,
DITTO,Language,"Tsinghua University,Apple,Westlake University,Chinese University of Hong Kong (CUHK)","China,United States of America,China,Hong Kong",6/6/22,52,750000000,,7.16,,Unreleased
Diffusion-GAN,Image generation,"UT Austin,Microsoft","United States of America,United States of America",5/6/22,151,,,,,
CogVideo,"Multimodal,Video","Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI","China,China",29/5/22,334,9400000000,5400000,,,Open access (unrestricted)
Tranception,Biology,"University of Oxford,Harvard Medical School,Cohere","United Kingdom of Great Britain and Northern Ireland,United States of America,Canada",27/5/22,129,700000000,,,336,Open access (unrestricted)
Imagen,Image generation,Google Brain,United States of America,23/5/22,4291,7762000000,860000000,,96,API access
SimCSE,Language,"Princeton University,Tsinghua University","United States of America,China",18/5/22,2679,,,,,
Gato,"Multimodal,Robotics,Games,Language",DeepMind,United Kingdom of Great Britain and Northern Ireland,12/5/22,634,1180000000,524000000000,,96,Unreleased
UL2,Language,"Google Research,Google Brain","Multinational,United States of America",10/5/22,240,20000000000,1000000000000,,744,Open access (unrestricted)
OPT-175B,Language,Meta AI,United States of America,2/5/22,2763,175000000000,180000000000,1.6667,793.5,Open access (non-commercial)
Flamingo,"Multimodal,Vision,Language,Video",DeepMind,United Kingdom of Great Britain and Northern Ireland,29/4/22,2312,80000000000,,,360,Unreleased
Sparse all-MLP,Language,Meta AI,United States of America,14/4/22,11,9410000000,100000000000,,112,Unreleased
Stable Diffusion (LDM-KL-8-G),Image generation,"Runway,Ludwig Maximilian University","United States of America,Germany",13/4/22,9848,1450000000,400000000,,585.9375,Open access (restricted use)
BERT-RBP,Biology,Waseda University,Japan,7/4/22,32,110000000,,,,Open access (non-commercial)
DALL·E 2,Image generation,OpenAI,United States of America,6/4/22,5171,3500000000,650000000,,,
PaLM (540B),Language,Google Research,Multinational,4/4/22,4789,540000000000,585000000000,1,1536,Unreleased
Chinchilla,Language,DeepMind,United Kingdom of Great Britain and Northern Ireland,29/3/22,1373,70000000000,1050000000000,1,,Unreleased
"Segatron-XL large, M=384 + HCP",Language,"Microsoft Research,University of Waterloo","United States of America,Canada",21/3/22,13,257000000,,167.02,,Unreleased
ViT-G (model soup),Vision,"University of Washington,Columbia University,Google,Meta AI,Tel Aviv University","United States of America,United States of America,United States of America,United States of America,Israel",10/3/22,638,1843000000,,8,,Open access (non-commercial)
MegaSyn,Medicine,Collaborations Pharmaceuticals,United States of America,7/3/22,148,,,,,Unreleased
Statement Curriculum Learning,"Language,Mathematics",OpenAI,United States of America,2/3/22,84,774000000,275000000000,,,
DeepNet,Language,Microsoft Research,United States of America,1/3/22,120,3200000000,12000000000,,,
PolyCoder,Language,Carnegie Mellon University (CMU),United States of America,26/2/22,476,2700000000,,,1000,
ST-MoE,Language,"Google,Google Brain,Google Research","United States of America,United States of America,Multinational",17/2/22,98,269000000000,1500000000000,0.84,,Unreleased
Midjourney V1,Image generation,Midjourney,United States of America,15/2/22,,,,,,
ProteinBERT,Biology,"Hebrew University of Jerusalem,Ben-Gurion University of the Negev,Deep Trading","Israel,United States of America,United States of America",10/2/22,362,16000000,,6.4,672,
LaMDA,Language,Google,United States of America,10/2/22,1333,137000000000,1560000000000,,1385,Unreleased
GPT-NeoX-20B,Language,EleutherAI,Multinational,9/2/22,655,20000000000,341000000000,1.4,2160,Open access (unrestricted)
RETRO-7B,Language,DeepMind,United Kingdom of Great Britain and Northern Ireland,7/2/22,761,7500000000,419000000000,,,Unreleased
AlphaCode,Language,DeepMind,United Kingdom of Great Britain and Northern Ireland,2/2/22,955,41100000000,,,,Unreleased
InstructGPT,Language,OpenAI,United States of America,27/1/22,8495,175000000000,374000000000,,,
OntoProtein,"Biology,Language",Zhejiang University,China,23/1/22,,420000000,,,,
AbLang (heavy sequences),Biology,University of Oxford,United Kingdom of Great Britain and Northern Ireland,22/1/22,94,355000000,,20,,
data2vec (vision),Vision,Meta AI,United States of America,20/1/22,678,705134592,1281167,800,,
data2vec (speech),Speech,Meta AI,United States of America,20/1/22,678,705134592,13132800,,,
data2vec (language),Language,Meta AI,United States of America,20/1/22,678,705134592,3300000000,,,Open access (unrestricted)
Detic,Vision,"Meta AI,University of Texas at Austin","United States of America,United States of America",7/1/22,452,88000000,16900000,,24,Open access (unrestricted)
ERNIE-ViLG,"Multimodal,Image generation,Vision",Baidu,China,31/12/21,51,10000000000,145000000,,,
ERNIE 3.0 Titan,Language,"Baidu,Peng Cheng Laboratory","China,China",23/12/21,66,260000000000,668000000000,,,Hosted access (no API)
XGLM-7.5B,Language,"Meta AI,Facebook AI Research","United States of America,United States of America",20/12/21,221,7500000000,1740000000,1,504,Open access (non-commercial)
LDM-1.45B,Image generation,"Heidelberg University,Runway","Germany,United States of America",20/12/21,9848,1450000000,400000000,0.66,,Open access (unrestricted)
GLIDE,Image generation,OpenAI,United States of America,20/12/21,2645,3500000000,250000000,,,
Contriever,Language,"Meta AI,University College London (UCL),PSL University,Université Grenoble Alpes","United States of America,United Kingdom of Great Britain and Northern Ireland,France,France",16/12/21,532,110000000,,,,Open access (non-commercial)
LongT5,Language,Google Research,Multinational,15/12/21,247,3000000000,200000000000,3.2,,Open access (unrestricted)
GLaM,Language,Google,United States of America,13/12/21,559,1200000000000,600000000000,,1366,Unreleased
Gopher (280B),Language,DeepMind,United Kingdom of Great Britain and Northern Ireland,8/12/21,1071,280000000000,300000000000,1,920,Unreleased
